scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0011,Post Matric Scholarship Scheme for SC Students,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,17.0,35.0,Passed Class 10,Not specified,250000.0,Any,SC,Equal Opportunity,Not specified,"Rs.570-Rs.1,200 per month",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-11-30,1 to 4 years,Varies by cohort,"Caste certificate, Income certificate, Marksheet, Aadhaar, Bank passbook",Passed Class 10; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Central sector scholarship for SC students pursuing post-matriculation studies across India.,Not specified,2026-09-16
SCH_0012,Post Matric Scholarship Scheme for ST Students,"Ministry of Tribal Affairs, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,17.0,35.0,Passed Class 10,Not specified,250000.0,Any,ST,Equal Opportunity,Not specified,"Rs.230-Rs.1,200 per month",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-11-30,1 to 4 years,Varies by cohort,"Tribe certificate, Income certificate, Marksheet, Aadhaar, Bank passbook",Passed Class 10; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",For ST students pursuing post-matric studies including professional courses.,Not specified,2026-09-16
SCH_0013,Post Matric Scholarship for Minorities,"Ministry of Minority Affairs, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,16.0,35.0,50%,50%,200000.0,Any,Minority,Equal Opportunity,Not specified,Maintenance allowance plus tuition fees,INR,Full,Full,Included,Not specified,Not specified,Free,2026-10-31,1 to 4 years,Varies by cohort,"Minority certificate, Income certificate, Marksheet, Aadhaar",50%; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Scholarship for students from Muslim/Christian/Sikh/Buddhist/Jain/Zoroastrian communities.,Not specified,2026-09-16
SCH_0014,Pre Matric Scholarship for Minorities,"Ministry of Minority Affairs, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,School,Full-time,All,6.0,16.0,50%,50%,100000.0,Any,Minority,Equal Opportunity,Not specified,"Rs.1,000-Rs.10,000 per year",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-10-31,1 to 4 years,Varies by cohort,"Minority certificate, Income certificate, Marksheet, Aadhaar",50%; Indian candidates; School level.,"Academic merit, financial background, and eligibility evaluation.",For minority community students studying in Class 1 to 10.,Yes,2026-09-16
SCH_0015,Merit-cum-Means Based Scholarship for Minorities,"Ministry of Minority Affairs, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,Technical/Medical/Management/Law,17.0,30.0,50%,50%,250000.0,Any,Minority,Equal Opportunity,Not specified,"Rs.20,000 per year plus maintenance allowance",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-10-31,1 to 4 years,Varies by cohort,"Minority certificate, Income certificate, Marksheet, Admission letter",50%; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",For minority students in professional UG or PG courses.,Yes,2026-09-16
SCH_0016,National Means cum Merit Scholarship (NMMS),"Ministry of Education, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,School,Full-time,All,13.0,18.0,55% in Class 7,55% in Class 7,150000.0,Any,General/SC/ST/OBC,Equal Opportunity,Not specified,"Rs.12,000 per year",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-09-30,1 to 4 years,Varies by cohort,"Class 7 marksheet, Income certificate, NMMS scorecard, Aadhaar",55% in Class 7; Indian candidates; School level.,"Academic merit, financial background, and eligibility evaluation.",For talented students from economically weaker sections to prevent dropout at Class 8 level.,Yes,2026-09-16
SCH_0017,National Scholarship for Higher Education of ST Students,"Ministry of Tribal Affairs, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,All,17.0,25.0,50%,50%,200000.0,Any,ST,Equal Opportunity,Not specified,"Rs.3,000-Rs.4,500 per month",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-10-31,1 to 4 years,Varies by cohort,"Tribe certificate, Income certificate, Marksheet, Aadhaar, Bank passbook",50%; Indian candidates; Undergraduate level.,"Academic merit, financial background, and eligibility evaluation.",For Scheduled Tribe students pursuing higher education in India.,Not specified,2026-09-16
SCH_0018,Top Class Education for Students with Disabilities,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,17.0,35.0,60%,60%,600000.0,Any,Persons with Disabilities,Persons with Disabilities eligible,Not specified,Full tuition plus maintenance plus book allowance,INR,Full,Full,Included,Not specified,Not specified,Free,2026-10-31,1 to 4 years,Varies by cohort,"Disability certificate (40% +), Marksheet, Income certificate, Aadhaar",60%; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Scholarship for students with benchmark disabilities at premier institutions.,Not specified,2026-09-16
SCH_0019,Financial Support to SC Students Pursuing Coaching,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Undergraduate,Full-time,Civil Services/Banking/IIT-JEE/NEET,18.0,30.0,55%,55%,800000.0,Any,SC,Equal Opportunity,Not specified,"Up to Rs.75,000 coaching fees",INR,Full,Full,Included,Not specified,Not specified,Free,2026-09-30,1 to 4 years,Varies by cohort,"Caste certificate, Income certificate, Coaching institute admission proof, Aadhaar",55%; Indian candidates; Undergraduate level.,"Academic merit, financial background, and eligibility evaluation.",Supports SC students to take coaching for competitive examinations.,Not specified,2026-09-16
SCH_0020,Centrally Sponsored Scholarship for OBC Students,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,17.0,30.0,Passed qualifying exam,Not specified,150000.0,Any,OBC,Equal Opportunity,Not specified,"Rs.300-Rs.1,000 per month",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-11-30,1 to 4 years,Varies by cohort,"OBC certificate, Income certificate, Marksheet, Aadhaar",Passed qualifying exam; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Post-matric scholarship for students from Other Backward Classes.,Not specified,2026-09-16
SCH_0021,Begum Hazrat Mahal National Scholarship,Maulana Azad Education Foundation (MAEF),Foundation / Corporate,NSP,https://maef.nic.in/,https://maef.nic.in/,India,India,Indian,School,Full-time,All,13.0,18.0,50%,50%,200000.0,Female,Minority,Equal Opportunity,Not specified,"Rs.5,000-Rs.6,000 per year",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-09-30,1 to 4 years,Varies by cohort,"Minority certificate, Income certificate, Marksheet, Aadhaar",50%; Indian candidates; School level.,"Academic merit, financial background, and eligibility evaluation.",For meritorious girl students from minority communities studying in Class 9 to 12.,Yes,2026-09-16
SCH_0022,Dr Ambedkar Post Matric Scholarship for EBC Students,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,Postgraduate,Full-time,All,17.0,35.0,Passed Class 10,Not specified,100000.0,Any,EWS,Equal Opportunity,Not specified,"Rs.570-Rs.1,200 per month",INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-11-30,1 to 4 years,Varies by cohort,"EBC income certificate, Marksheet, Aadhaar, Bank passbook",Passed Class 10; Indian candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Post-matric scholarship for students from Economically Backward Classes.,Not specified,2026-09-16
SCH_0023,Pre Matric Scholarship for SC Students,"Ministry of Social Justice and Empowerment, Govt. of India",Government,NSP,https://scholarships.gov.in/,https://scholarships.gov.in/,India,India,Indian,School,Full-time,All,13.0,16.0,Passed Class 8,Not specified,250000.0,Any,SC,Equal Opportunity,Not specified,Rs.150-Rs.750 per month,INR,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-11-30,1 to 4 years,Varies by cohort,"Caste certificate, Income certificate, Marksheet, Aadhaar",Passed Class 8; Indian candidates; School level.,"Academic merit, financial background, and eligibility evaluation.",Pre-matric scholarship for SC students studying in Class 9 and 10.,Not specified,2026-09-16
SCH_0024,Prime Minister Research Fellowship (PMRF),"Ministry of Education, Govt. of India",Government,NSP,https://www.pmrf.in/,https://www.pmrf.in/,India,India,Indian,PhD,Full-time,Science/Technology/Engineering/Mathematics,22.0,32.0,First division in BE/BTech/Integrated MSc,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"Rs.70,000-Rs.80,000 per month (progressive)",INR,Full,Full,Included,Not specified,Not specified,Free,2026-03-31,1 to 4 years,Varies by cohort,"Degree certificate, GATE score, Research proposal, References",First division in BE/BTech/Integrated MSc; Indian candidates; PhD level.,"Academic merit, financial background, and eligibility evaluation.",Prestigious fellowship for top graduates to pursue PhD at IITs/IISc with high stipend.,Not specified,2026-09-16
SCH_0025,Fulbright U.S. Student Program,Institute of International Education (IIE) / U.S. Dept. of State,University,IIE,https://us.fulbrightonline.org/,https://us.fulbrightonline.org/,USA,International,American (for study abroad),Postgraduate,Full-time,All,18.0,50.0,Bachelor degree,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full grant (tuition plus living plus airfare),USD,Full,Full,Included,Not specified,Not specified,Free,2026-10-14,1 to 4 years,Varies by cohort,"Transcripts, Language proficiency, References, Project proposal",Bachelor degree; American (for study abroad) candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.","Flagship US government program for US graduates to study, teach or conduct research abroad.",Not specified,2026-09-16
SCH_0026,IIE Emergency Student Fund,Institute of International Education (IIE),University,IIE,https://www.iie.org/programs/emergency-student-fund/,https://www.iie.org/programs/emergency-student-fund/,USA,USA,International students in USA,Postgraduate,Full-time,All,18.0,45.0,Currently enrolled,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"Emergency grant up to $5,000",USD,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,Rolling,1 to 4 years,Varies by cohort,"Enrollment verification, Financial hardship statement",Currently enrolled; International students in USA candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Emergency grants for international students in USA facing unexpected financial crises.,Not specified,2026-09-16
SCH_0027,Benjamin A. Gilman International Scholarship,IIE / U.S. Dept. of State,Foundation / Corporate,IIE,https://www.iie.org/programs/gilman-scholarship-program/,https://www.iie.org/programs/gilman-scholarship-program/,USA,South Korea,American Pell Grant recipients,Undergraduate,Full-time,All,18.0,25.0,Currently enrolled plus Pell Grant eligible,Not specified,Not specified,Any,EWS,Equal Opportunity,Not specified,"Up to $5,000 ($8,000 for critical language)",USD,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2026-10-07,1 to 4 years,Varies by cohort,"Pell Grant verification, Transcripts, Essays, Advisor endorsement",Currently enrolled plus Pell Grant eligible; American Pell Grant recipients candidates; Undergraduate level.,"Academic merit, financial background, and eligibility evaluation.",Enables US undergraduate students of limited financial means to study abroad.,Not specified,2026-09-16
SCH_0028,Humphrey Fellowship Program (IIE Administered),IIE / U.S. Dept. of State,Foundation / Corporate,IIE,https://www.iie.org/programs/humphrey-fellowship-program/,https://www.iie.org/programs/humphrey-fellowship-program/,USA,USA,Developing country mid-career professionals,Postgraduate,Full-time,Public Policy/Education/Journalism/Law/Public Health,30.0,50.0,Bachelor plus 5 years experience,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full program cost,USD,Full,Full,Included,Not specified,Not specified,Free,2026-09-01,1 to 4 years,Varies by cohort,"CV, Essays, References, Degree, English score",Bachelor plus 5 years experience; Developing country mid-career professionals candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",10-month non-degree fellowship for experienced professionals from developing countries.,Not specified,2026-09-16
SCH_0029,IIE Boren Scholars Program,IIE / National Security Education Program (NSEP),Foundation / Corporate,IIE,https://borenawards.org/boren-scholars/,https://borenawards.org/boren-scholars/,USA,Underrepresented regions (Africa/Asia/Middle East/Latin America),American citizens,Undergraduate,Full-time,National Security/Defense related,18.0,26.0,Good standing plus US citizenship,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"Up to $20,000",USD,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,2027-02-01,1 to 4 years,Varies by cohort,"Transcripts, Essays, References, Language plan",Good standing plus US citizenship; American citizens candidates; Undergraduate level.,"Academic merit, financial background, and eligibility evaluation.",Scholarships for US undergrads to study world regions critical to US national security.,Not specified,2026-09-16
SCH_0030,Robert Bosch Foundation Fellowship Program,Robert Bosch Foundation (IIE administered),Foundation / Corporate,IIE,https://www.iie.org/programs/robert-bosch-foundation-fellowship-program/,https://www.iie.org/programs/robert-bosch-foundation-fellowship-program/,Germany,Germany,American professionals,Postgraduate,Full-time,Business/Economics/Journalism/Public Policy/Law,25.0,35.0,Master degree or equivalent plus work experience,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"EUR 2,100-2,500 per month plus travel plus language training",EUR,Full,Full,Included,Not specified,Not specified,Free,2026-11-01,1 to 4 years,Varies by cohort,"CV, Essays, References, Degree certificate",Master degree or equivalent plus work experience; American professionals candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",9-month fellowship for accomplished young American professionals to work at German organizations.,Not specified,2026-09-16
SCH_0031,NSLI-Y National Security Language Initiative for Youth,IIE / U.S. Dept. of State,Foundation / Corporate,IIE,https://www.iie.org/programs/nsli-y/,https://www.iie.org/programs/nsli-y/,USA,Multiple (language regions),American high school students,School,Full-time,Language Learning,15.0,18.0,Strong academic record,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,Full program (tuition plus room plus board plus flights),USD,Full,Full,Included,Not specified,Not specified,Free,2026-12-01,1 to 4 years,Varies by cohort,"Transcript, Essays, References, Parent consent",Strong academic record; American high school students candidates; School level.,"Academic merit, financial background, and eligibility evaluation.",Immersive overseas language programs for US high school students in critical languages.,Not specified,2026-09-16
SCH_0032,Generation Study Abroad Scholarship,IIE / Generation Study Abroad Initiative,Foundation / Corporate,IIE,https://www.iie.org/programs/generation-study-abroad/,https://www.iie.org/programs/generation-study-abroad/,USA,International,American undergrads (underrepresented groups),Undergraduate,Full-time,All,18.0,25.0,Enrolled in a US institution,Not specified,Not specified,Any,EWS/Minority,Equal Opportunity,Not specified,"$1,000-$5,000",USD,Partial,Partial or Waiver,Not specified,Not specified,Not specified,Free,Rolling,1 to 4 years,Varies by cohort,"Enrollment proof, Essays, Financial need statement",Enrolled in a US institution; American undergrads (underrepresented groups) candidates; Undergraduate level.,"Academic merit, financial background, and eligibility evaluation.",Scholarships to increase study abroad access for underrepresented US students.,Not specified,2026-09-16
SCH_0033,IIE Scholar Rescue Fund Fellowship,Institute of International Education (IIE),University,IIE,https://www.scholarrescuefund.org/,https://www.scholarrescuefund.org/,USA,USA,Scholars at risk worldwide,Postgraduate,Full-time,All,25.0,60.0,PhD or equivalent professional experience,Not specified,Not specified,Any,General,Equal Opportunity,Not specified,"$25,000 stipend plus host institution support",USD,Full,Full,Included,Not specified,Not specified,Free,Rolling,1 to 4 years,Varies by cohort,"CV, Research record, Threat documentation, References",PhD or equivalent professional experience; Scholars at risk worldwide candidates; Postgraduate level.,"Academic merit, financial background, and eligibility evaluation.",Fellowships placing threatened scholars at host academic institutions where they can continue their work.,Not specified,2026-09-16
SCH_0034,The Quad Fellowship,Institute of International Education (IIE) / Quad Governments,International Body,IIE,https://www.quadfellowship.org/,https://www.quadfellowship.org/apply,USA,USA,"Citizens of Australia, India, Japan, United States, and ASEAN countries",Postgraduate,Full-time,"STEM (Science, Technology, Engineering, Mathematics)",18,Not specified,Undergraduate degree in STEM completed by program start,Superior academic record,Not specified,Any,General,Equal Opportunity,Citizenship or legal permanent resident of Quad or ASEAN nation,40000,USD,Fellowship,Supported via stipend and host institution,"USD 40,000 one-time funding stipend",Travel to leadership retreats included,Supported via stipend,Free,2026-06-30,1 year of fellowship programming,Up to 100 fellows,"Transcripts, Resume, 3 Recommendations, STEM research essay, Quad vision essay",Demonstrated academic excellence in STEM; commitment to advancing innovation and collaboration across Quad nations.,"Academic achievement, STEM research potential, interpersonal leadership, alignment with Quad goals.",First-of-its-kind fellowship designed to build ties among the next generation of STEM leaders from Quad and ASEAN nations.,No,2026-09-16
SCH_0035,The Language Flagship Fellowship,Institute of International Education / NSEP,Government,IIE,https://www.thelanguageflagship.org/,https://www.thelanguageflagship.org/apply,USA,USA,US Citizens,Undergraduate,Full-time,"Critical Languages (Arabic, Chinese, Korean, Russian, Persian, Portuguese)",18,Not specified,Enrolled in Flagship undergraduate program at designated US university,3.0+ GPA,Not specified,Any,General,Equal Opportunity,US Citizen,20000,USD,Full,Full tuition for capstone year abroad,Living stipend during overseas capstone,Round-trip international flight provided,Covered via capstone stipend,Free,2026-11-15,1 academic year (overseas capstone),Varies by language institution,"Undergraduate transcripts, Language proficiency assessment, Recommendation letters",Undergraduate students enrolled at an approved Language Flagship institution committed to reaching professional level.,"Language proficiency progression, academic performance, commitment to public service.",Prepares undergraduate students to graduate with professional-level proficiency in critical world languages.,No,2026-09-16
